k,BNF=1(kHz),BNF=2(kHz),BNF=3(kHz),BNF=4(kHz),BNF=5(kHz),BNF=6(kHz),BNF=7(kHz),BNF=8(kHz),BNF=9(kHz),BNF=10(kHz),BNF=11(kHz),BNF=12(kHz),BNF=13(kHz),BNF=14(kHz),BNF=15(kHz),BNF=16(kHz),BNF=17(kHz),BNF=18(kHz),BNF=19(kHz),BNF=20(kHz),BNF=21(kHz),BNF=22(kHz),BNF=23(kHz),BNF=24(kHz),BNF=25(kHz),BNF=26(kHz),VF(%),ASx(%),a(mm),ax(mm),ay(mm),az(mm),Band type,TPMS type,Solid Material,Medium,Shell thickness,t,CBG,BG exists?,Band Type
0,12.68604417,12.68630689,12.68635337,14.06588621,15.27196863,15.27260449,15.27268189,22.94668832,25.69327081,25.69350099,25.69392459,26.88822177,26.89032943,26.89040149,27.08183943,27.53479056,27.5351675,27.53662387,27.79798662,27.79804887,28.80418863,28.8043875,28.80458795,28.83943472,28.84302371,28.84319236,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.05,12.63878803,12.66870532,12.6689513,14.12144489,15.27119858,15.29699024,15.29710443,22.95169401,25.64907457,25.64936669,25.68750333,26.8825199,26.88263728,26.88799363,26.98373104,27.38648595,27.56742579,27.56779018,27.80983162,28.03657918,28.75040277,28.75063766,28.81981213,28.82006464,28.91944458,28.91964109,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.1,12.51445883,12.61870006,12.61893442,14.26985351,15.26864274,15.36827336,15.36837919,22.9666592,25.52473181,25.52499553,25.67024101,26.70345332,26.86239868,26.86252007,26.88715513,27.28691095,27.65250046,27.65284084,27.84489912,28.38317899,28.70332492,28.70357198,28.76231406,28.87140773,29.03513849,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.15,12.34617218,12.54141032,12.54162799,14.47835438,15.26445811,15.48102319,15.48111726,22.99142793,25.34004677,25.34027649,25.64288108,26.35041422,26.83478292,26.83492636,26.88579822,27.23255229,27.76334649,27.76368627,27.901925,28.67224682,28.67983824,28.68007045,28.70219405,28.98994423,29.17536922,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.2,12.15772585,12.44367208,12.44387074,14.72327118,15.25875902,15.6283922,15.62847608,23.02573899,25.11408496,25.11428374,25.60722073,25.97793786,26.8023392,26.80250219,26.88395019,27.18374711,27.87506279,27.8754317,27.97909416,28.55653355,28.6833277,28.68362794,28.89528138,29.26031121,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.25,11.96250642,12.33219731,12.33237661,14.99138383,15.25169865,15.80364626,15.80372556,23.06922352,24.86082656,24.86100007,25.56529218,25.59903519,26.7663441,26.76651999,26.88165841,27.1334011,27.96990953,27.97032235,28.07434979,28.42137067,28.71754654,28.71789248,29.0174893,29.52627556,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.3,11.76788377,12.21274963,12.21291042,15.24346476,15.2755306,16.00097884,16.00106131,23.12140067,24.58955461,24.58970849,25.21775142,25.51911207,26.72778764,26.72797077,26.87898203,27.08125267,28.03922039,28.03967171,28.18564506,28.27240202,28.78306433,28.78344266,29.13457472,29.7330377,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.35,11.57817794,12.08995198,12.09009568,15.23427368,15.57163656,16.21568876,16.2157816,23.18167021,24.3063746,24.3065138,24.83573985,25.4705194,26.68767315,26.68785961,26.87598972,27.0283773,28.08373134,28.08420547,28.11415441,28.31110077,28.87513962,28.87553161,29.25805094,29.95619568,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.4,11.3961515,11.96740552,11.96753378,15.22436365,15.87721553,16.44403929,16.44414774,23.24930094,24.0154458,24.01557455,24.45382293,25.42110921,26.64700195,26.6471892,26.87275766,26.97599036,27.95026597,28.10967932,28.11016296,28.44907453,28.9857823,28.98617429,29.38943288,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.45,11.22373285,11.84789816,11.84801267,15.21398778,16.19063958,16.68301795,16.6831456,23.32341274,23.71978071,23.71990275,24.07247982,25.37221762,26.60671306,26.60689952,26.86936737,26.92516086,27.78373878,28.12370629,28.12419253,28.59817391,29.10761772,29.1080002,29.52841202,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.5,11.062376,11.73360246,11.73370487,15.20340697,16.51077078,16.93009319,16.93024279,23.40292596,23.4217705,23.42187152,23.69202922,25.32494164,26.56764456,26.56782934,26.86590342,26.87676269,27.61715076,28.13062827,28.13111435,28.757235,29.23537361,29.23574605,29.67429154,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.55,10.91324606,11.62623273,11.62632462,15.19288307,16.8367655,17.18298932,17.18316344,23.1234114,23.12353612,23.31271009,23.48665847,25.2801711,26.53051965,26.53070225,26.83149064,26.86245183,27.45286159,28.13344941,28.13393446,28.92528892,29.36546888,29.36582773,29.82630191,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.6,10.77731767,11.52716035,11.52724321,15.18267235,17.16796376,17.43946532,17.43966685,22.82681047,22.82694266,22.93472308,23.57300168,25.23862262,26.49594822,26.49612846,26.78989281,26.85909652,27.29317771,28.13395671,28.13444062,29.10152471,29.4951951,29.49553986,29.98365246,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.65,10.65542755,11.43749516,11.43757041,15.1730196,17.50382131,17.697063,17.69729552,22.53421126,22.5343578,22.55825559,23.66014597,25.20087054,26.46443625,26.46461412,26.75239886,26.8559189,27.14049924,28.13321153,28.13369443,29.28525306,29.62212073,29.62245162,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.7,10.54830203,11.35814169,11.35821066,15.1641528,17.84386136,17.95276705,17.95303519,22.1835024,22.24846746,22.24863545,23.74586411,25.16737292,26.43639785,26.43657348,26.71934566,26.85299488,26.99745081,28.13185595,28.132338,29.47586996,29.74368018,29.74399406,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.75,10.45657014,11.28983737,11.28990129,15.15627849,18.18762838,18.20248221,18.20279226,21.8106973,21.97353676,21.97373522,23.82748023,25.13849254,26.4121674,26.41234098,26.69099614,26.8503855,26.8669971,28.1302884,28.13076978,29.67281384,29.8569123,29.85721553,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.8,10.38076857,11.23317824,11.23323824,15.1495778,18.44017409,18.4405326,18.53462025,21.44016762,21.71534215,21.71558087,23.90184391,25.11451331,26.39201033,26.39218212,26.66755369,26.75245347,26.84818278,28.12876245,28.1292433,29.87549582,29.95835137,29.95862705,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.85,10.32134187,11.18863597,11.18869308,15.14420323,18.65647847,18.65689368,18.88411478,21.07249855,21.48315997,21.48344889,23.96539872,25.09565281,26.3761322,26.37630249,26.64917246,26.65754632,26.84640323,28.12744233,28.12792279,30.0439306,30.04420799,30.0831341,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.9,10.27864041,11.15656886,11.156624,15.14027601,18.83681611,18.8372922,19.23454691,20.7091544,21.29150676,21.2918521,24.01442258,25.08207161,26.36468584,26.36485494,26.58607195,26.63596705,26.84510228,28.12643448,28.12691467,30.10939437,30.10966192,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.95,10.25291735,11.13722884,11.13728283,15.1378841,18.96044598,18.96097448,19.57950043,20.3564812,21.16108993,21.16148506,24.04549718,25.07387998,26.35777677,26.35794509,26.54150696,26.62801341,26.84430957,28.12580546,28.12628549,30.15067404,30.15094759,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1,10.24432589,11.13076561,11.13081923,15.13708084,19.00512607,19.00567637,19.82548609,20.10792686,21.11414621,21.11456228,24.05615735,25.07114237,26.35546694,26.35563497,26.52634675,26.62535726,26.84404329,28.12559189,28.12607187,30.16480225,30.16506273,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.05,10.05476677,11.14666872,11.29405479,15.17224067,18.92685735,19.0144657,19.90651017,20.06940396,21.11812897,21.14895889,24.06847397,24.95824341,26.20206101,26.26741162,26.52354266,26.73607081,27.0136564,28.16312877,28.17399883,29.92798151,30.11395152,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.1,9.665815776,11.19409128,11.60469025,15.2771124,18.74678959,19.04181933,19.96709079,20.09371771,21.12920304,21.23930607,24.10547506,24.66581351,25.9507952,26.13422716,26.47397287,26.9113935,27.34203168,28.27608623,28.30791311,29.53199139,29.97989124,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.15,9.212224135,11.27267909,11.92975072,15.4495613,18.52964421,19.08729691,19.82492371,20.32242012,21.14737923,21.36024049,24.16729464,24.27302448,25.6767441,26.00879992,26.40150726,27.07662845,27.68449879,28.47417382,28.50241494,29.11140242,29.79459422,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.2,8.72836814,11.38178125,12.23864163,15.68530323,18.30203225,19.15072924,19.66037884,20.56554799,21.17222097,21.49226197,23.83108696,24.25409678,25.39488967,25.88656554,26.31978615,27.22690927,27.9728228,28.68560688,28.73218142,28.77181178,29.58050995,30.32044789,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.25,8.22582695,11.52050416,12.52571489,15.97764933,18.07446966,19.23187794,19.48322038,20.81204065,21.20305626,21.62253794,23.36497693,24.365968,25.11466299,25.76622227,26.23680493,27.36208942,28.18027717,28.260254,28.97651012,29.15893516,29.35044938,30.15266597,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.3,7.710179094,11.68778822,12.7930401,16.31805367,17.85202246,19.29866086,19.33043687,21.05631001,21.23886032,21.74168002,22.88697107,24.50279858,24.84419896,25.64987625,26.15734445,27.48005898,27.83782692,28.30634696,29.11195615,29.21701876,29.60066688,30.03318556,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.35,7.184712177,11.88240099,13.04544911,16.69723028,17.63766526,19.10942937,19.44602576,21.27776129,21.29497281,21.84146571,22.40430522,24.59137267,24.66411784,25.54039378,26.08428547,27.41977213,27.57545171,28.34457936,28.86996372,29.42968521,29.98382899,30.07728501,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.4,6.651629501,12.10299775,13.28828049,17.10624266,17.43343653,18.91689969,19.57818694,21.31407165,21.52578579,21.91393121,21.92524035,24.3641321,24.8489233,25.4404514,26.0193479,27.00712737,27.63903903,28.29226348,28.62812483,29.570719,30.03589326,30.35784856,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.45,6.112509423,12.34815417,13.52623113,17.24089003,17.53712985,18.7216479,19.72637396,21.28561535,21.51307029,21.7472363,21.95169476,24.16992937,25.05551769,25.35231436,25.96335298,26.60075192,27.65803265,28.1667732,28.38954386,29.59700949,30.16134718,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.5,5.568537153,12.61640162,13.76292054,17.0612941,17.9828692,18.52394629,19.88993368,20.90084919,21.45964722,21.94965924,21.95830569,24.01395675,25.27775104,25.28139488,25.9161676,26.20147358,27.61921454,27.99504965,28.15725855,29.55416872,30.3041974,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.55,5.020628802,12.90625624,14.0008533,16.895727,18.31737877,18.44377924,20.06807408,20.42555813,21.49901767,21.90754919,22.15826416,23.89659014,25.21839681,25.52261728,25.81016721,25.87637707,27.51627204,27.79908783,27.93471719,29.51666448,30.22192178,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.6,4.46951197,13.21624373,14.24155543,16.74512619,18.11569248,18.9004813,19.94539269,20.25980763,21.54509891,21.83133431,22.34643958,23.81192288,25.17501042,25.42785039,25.77395993,25.84067668,27.35664397,27.59333382,27.72650155,29.51318432,30.14653188,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.65,3.915777273,13.54491726,14.4857534,16.61031376,17.90622957,19.36018303,19.46696378,20.46384688,21.59073671,21.73183895,22.52196847,23.74902438,25.05579629,25.14808885,25.8030023,26.02677897,27.16085026,27.3871663,27.53984974,29.54254853,30.07872922,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.7,3.359914174,13.89086781,14.7335363,16.49200969,17.69135069,18.99223035,19.81487857,20.67841202,21.62150425,21.63344123,22.68355214,23.69492228,24.69575754,25.1373467,25.75383764,26.26543475,26.95662482,27.18731277,27.38849199,29.59359245,30.01907048,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.75,2.802336669,14.25272369,14.98447789,16.3908381,17.47066644,18.52234163,20.25853758,20.90084717,21.51170382,21.67165355,22.8292488,23.63702886,24.35034248,25.14155213,25.68158972,26.4581637,26.77334267,26.99943035,27.3014106,29.65448803,29.96797902,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.8,2.243402278,14.62912883,15.23770094,16.3073295,17.2440058,18.0582589,20.68305836,21.12682467,21.4116447,21.70423177,22.95634816,23.56451131,24.0238307,25.1581755,25.5800976,26.55670378,26.6341348,26.82916215,27.32236698,29.7155194,29.92578151,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.85,1.6834265,15.01866101,15.49182647,16.24192076,17.01172277,17.60100392,21.07512714,21.32909981,21.34860155,21.73032742,23.06139995,23.47041158,23.72391826,25.18298659,25.45973724,26.54543527,26.55776265,26.6829347,27.44681298,29.76933688,29.89272366,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.9,1.122694173,15.41949488,15.74450326,16.19495404,16.77529739,17.15205803,21.25968797,21.42249966,21.55117245,21.74934299,23.14049086,23.35767217,23.4655689,25.20977012,25.34648868,26.49720871,26.51906865,26.56847264,27.60321469,29.81073904,29.86898854,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.95,0.561468722,15.82712185,15.98901452,16.1666752,16.54079921,16.71567065,21.22311987,21.66907698,21.70526957,21.76089322,23.18983603,23.25118542,23.2780237,25.2307658,25.26726839,26.4749663,26.4839424,26.49451014,27.72652125,29.83652516,29.85469978,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2,1.19E-05,16.15465148,16.15473253,16.15723431,16.37844761,16.37858542,21.21018818,21.76445697,21.76477165,21.76576531,23.2036417,23.20639712,23.20686855,25.23876148,25.23908681,26.46865163,26.46880458,26.47061352,27.77333585,29.84520464,29.84951504,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.05,0.397009344,15.8937592,16.15941637,16.16195525,16.38292949,16.63338013,21.2167087,21.7333188,21.73458961,21.74482698,23.20975218,23.22902701,23.2315481,25.22553273,25.26247676,26.47562079,26.47743482,26.47773473,27.74947547,29.84092231,29.8452832,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.1,0.793785166,15.54187622,16.17356485,16.17610146,16.39594007,16.96708403,21.23637923,21.64610448,21.64745666,21.6867061,23.21929322,23.29805311,23.30049619,25.18729816,25.33108828,26.49603122,26.49786761,26.50345524,27.68151773,29.82853467,29.83300749,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.15,1.19008405,15.18048272,16.19707867,16.19961149,16.41754411,17.29758971,21.26952185,21.51679241,21.51824374,21.59475378,23.2351051,23.39701044,23.39933001,25.12797213,25.44055567,26.52969957,26.53155268,26.54233551,27.57823987,29.80965062,29.81429652,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.2,1.585641858,14.81457466,16.22985556,16.2323831,16.44761845,17.6190268,21.31665317,21.35897048,21.36051905,21.4748505,23.25712579,23.5122368,23.51442676,25.05245407,25.5850381,26.5760384,26.57791825,26.59004859,27.44960932,29.78664985,29.79150628,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.25,1.980160936,14.44580867,16.27174851,16.2742693,16.48598485,17.92854656,21.18269359,21.1843289,21.33316835,21.3784427,23.28523964,23.63369449,23.63575807,24.96555558,25.75842209,26.63410432,26.63602187,26.64262004,27.3041959,29.76243502,29.76751607,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.3,2.373293952,14.07523388,16.32256128,16.32507389,16.53240331,18.223653,20.9947595,20.99647109,21.17538211,21.45561978,23.3192865,23.75475575,23.75669714,24.87152704,25.95511079,26.69686553,26.70250976,26.7045066,27.14848897,29.74020209,29.74549953,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.35,2.764622416,13.70373524,16.38204145,16.38454447,16.58656215,18.50188229,20.7997573,20.80153548,21.00634856,21.5488198,23.35905436,23.87122062,23.87304274,24.77402266,26.17034501,26.75054715,26.77934729,26.7814276,26.987178,29.72327706,29.72876826,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.4,3.153626978,13.33217903,16.44986985,16.45236193,16.64806357,18.76086056,20.60091456,20.60275138,20.83009556,21.65832785,23.40426743,23.98051645,23.98222091,24.67625382,26.40021632,26.80208817,26.82364112,26.8621858,26.86437835,29.71500856,29.72064445,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.45,3.539644986,12.96149989,16.52564459,16.52812441,16.71640271,18.99850159,20.40064618,20.40253526,20.64995608,21.78372942,23.4545688,24.08116624,24.08275403,24.58119047,26.64153332,26.66043854,26.85052753,26.94807097,26.95043025,29.71865377,29.72438054,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.5,3.921808073,12.59278529,16.60885655,16.61132285,16.79093737,19.21325342,20.2008996,20.20283581,20.46875033,21.9234987,23.50949569,24.1724349,24.17390716,24.49175947,26.49954809,26.89163813,26.89531698,27.03378127,27.0363461,29.73722172,29.74296239,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.55,4.298948018,12.22738241,16.69885129,16.70130287,16.87084403,19.40429758,20.00338571,20.00536491,20.2889724,22.07460684,23.56844414,24.25407854,24.25543721,24.41102354,26.34268642,26.9362238,27.11601297,27.11882207,27.14822656,29.56623043,29.77323878,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.6,4.669451306,11.86705195,16.79476903,16.79720477,16.95505414,19.57160813,19.80975748,19.81177628,20.1129722,22.23225704,23.63061866,24.32615766,24.32740458,24.34231784,26.19145819,26.97325325,27.19176891,27.19487212,27.40910233,29.27558977,29.8283979,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.65,5.031029695,11.51420342,16.89544822,16.8978671,17.04216225,19.62178148,19.62383669,19.71583276,19.94313907,22.38985856,23.69496138,24.28925166,24.38889843,24.390043,26.0475215,27.00658568,27.25870056,27.26212322,27.67201948,28.99200122,29.90315472,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.7,5.380352878,11.17226677,16.99926876,17.0016699,17.13029665,19.44154382,19.44363331,19.78210059,19.83803791,22.53938649,23.76005483,24.25542258,24.44259266,24.4436402,25.91274392,27.03655307,27.31536504,27.31911874,27.93430601,28.7200808,29.99633602,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.75,5.712459369,10.84628469,17.10389611,17.10627886,17.21694658,19.27173897,19.27386022,19.63294691,19.93942216,22.67236518,23.82399689,24.24344478,24.4875338,24.48849443,25.789367,27.06361434,27.36128627,27.36536206,28.1923883,28.46529502,30.10470482,30.10950716,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.8,6.019838793,10.54383283,17.20587393,17.20823806,17.29875908,19.11609989,19.11825038,19.49947168,20.02108076,22.78163618,23.88426256,24.25317186,24.52397917,24.52486529,25.68017141,27.08829487,27.39681027,27.40117857,28.2343301,28.44090079,30.22253308,30.22699322,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.85,6.291145304,10.27630821,17.30003422,17.30238028,17.37137502,18.98000376,18.98218041,19.38636378,20.08387371,22.86338493,23.93760905,24.27969513,24.55213367,24.5529597,25.58859013,27.11096767,27.42281437,27.42742785,28.035454,28.67105153,30.34088728,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.9,6.509935593,10.06019261,17.37887859,17.3812086,17.42949078,18.87110186,18.87330029,19.29916549,20.12839104,22.917955,23.98015933,24.31291129,24.57214691,24.57292893,25.5186375,27.13122044,27.44037235,27.44517022,27.87882814,28.86782591,30.44653951,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
2.95,6.655130177,9.916592309,17.432696,17.43501438,17.46746944,18.79920952,18.801423,19.24367517,20.15498552,22.94846366,24.00787451,24.34007244,24.58411797,24.58487315,25.47444518,27.14667585,27.45046017,27.45537254,27.77650918,29.00693418,30.52213911,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3,6.706469384,9.865782786,17.45202262,17.45433666,17.48072978,18.77385128,18.77607024,19.22456742,20.16383306,22.95818728,24.01753106,24.35051103,24.58810238,24.58884856,25.4592904,27.15275946,27.45374435,27.45869564,27.74052324,29.05843625,30.55000885,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.05,6.719271301,9.871798573,17.16599388,17.4593128,17.7478561,18.66773393,18.77736733,19.32316366,20.18600526,22.96913572,23.89943648,24.27195469,24.65964986,24.71037822,25.4440305,27.14654869,27.4572049,27.47801217,27.75439641,29.04263215,30.55542886,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.1,6.757525804,9.889775499,16.85149288,17.47423377,18.00544969,18.45942073,18.78123412,19.50880317,20.25256691,23.00210811,23.66774485,24.12805259,24.78289576,24.95243665,25.40009452,27.12883466,27.46671585,27.53414933,27.79564012,28.99696462,30.56152102,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.15,6.82078731,9.919501515,16.52584246,17.49906046,18.22422735,18.23612941,18.78759637,19.70588356,20.36309752,23.05744177,23.41016236,23.96911171,24.90885902,25.22730178,25.3322244,27.10176438,27.48034959,27.62237533,27.8631228,28.92587386,30.57161623,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.2,6.908339325,9.960620608,16.1920282,17.53372981,17.97952189,18.43819112,18.79633074,19.89671285,20.51538655,23.13555721,23.14681701,23.80529332,25.02961231,25.2463792,25.51485266,27.06767411,27.4961055,27.73675368,27.95492791,28.8348835,30.56851318,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.25,7.01923004,10.01262848,15.85233556,17.57815221,17.7311576,18.61295354,18.80726516,20.07525808,20.70423324,22.88348477,23.2367687,23.64142753,25.14361119,25.14833183,25.80932059,27.02855143,27.51241993,27.8715496,28.06819129,28.72948342,30.43959865,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.3,7.152315718,10.0748656,15.50854328,17.48222289,17.63220981,18.76440456,18.82017968,20.23863918,20.92111205,22.62246006,23.36106405,23.48209105,25.0429467,25.25099544,26.10842308,26.98597924,27.52818116,28.02189917,28.19811176,28.61558337,30.2909819,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.35,7.30630692,10.14650693,15.1620591,17.2349067,17.69575342,18.83480771,18.89792532,20.38545505,21.15434209,22.36491758,23.33343307,23.50792315,24.93415825,25.35247997,26.41099735,26.94124264,27.54257045,28.18391607,28.32730334,28.51006526,30.12545774,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.4,7.479812794,10.22654713,14.81402669,16.99106835,17.76859856,18.85083834,19.01890069,20.51532897,21.38836417,22.1116026,23.20540013,23.67622011,24.82501406,25.449059,26.71631152,26.89543578,27.55489086,28.31909179,28.35454453,28.5473868,29.9455484,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
3.45,7.671379219,10.31378044,14.46540904,16.75247278,17.85051782,18.86791909,19.13187138,20.62867409,21.60085874,21.86308314,23.11545054,23.86424587,24.71791867,25.54174036,26.84952351,27.02382044,27.56441312,28.19656555,28.53133365,28.69999094,29.75362228,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
