k,BNF=1(kHz),BNF=2(kHz),BNF=3(kHz),BNF=4(kHz),BNF=5(kHz),BNF=6(kHz),BNF=7(kHz),BNF=8(kHz),BNF=9(kHz),BNF=10(kHz),BNF=11(kHz),BNF=12(kHz),BNF=13(kHz),BNF=14(kHz),BNF=15(kHz),BNF=16(kHz),BNF=17(kHz),BNF=18(kHz),BNF=19(kHz),BNF=20(kHz),BNF=21(kHz),BNF=22(kHz),BNF=23(kHz),BNF=24(kHz),BNF=25(kHz),BNF=26(kHz),VF(%),ASx(%),a(mm),ax(mm),ay(mm),az(mm),Band type,TPMS type,Solid Material,Medium,Shell thickness,t,CBG,BG exists?,Band Type
2.15,2.145104046,2.145148016,4.794874283,34.584337,34.58565068,36.01583302,38.68909601,39.76814699,39.76945958,45.03446922,45.20887613,45.20900881,52.99580589,53.65133622,54.92316558,54.92654199,54.92891608,62.24602078,62.24689264,62.75046613,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.2,2.860176662,2.86023723,6.374909401,33.88518206,33.88677358,36.13167246,38.67037858,40.2995977,40.30053253,45.03128301,45.33545007,45.33572143,52.52468563,53.61937739,54.86920296,54.88692854,54.8893237,62.44981288,62.45061145,62.74988663,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.25,3.574820308,3.574898797,7.938747725,33.14249971,33.14431692,36.27980538,38.64715679,40.83140151,40.83200488,45.02733758,45.49053156,45.49098404,51.98213805,53.57983669,54.79169615,54.84138496,54.84381536,61.81257931,62.70608199,62.70680379,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.3,4.288335999,4.288433663,9.481619847,32.37444322,32.37644725,36.45962136,38.62002819,41.34936748,41.34969214,45.0227392,45.66819595,45.66884132,51.39052301,53.53379396,54.68266665,54.79328752,54.79577303,60.89658639,63.01048496,63.01111674,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.35,4.999603783,4.999721569,10.99822067,31.59229517,31.59445669,36.67036198,38.58968623,41.84727561,41.84742302,45.01761023,45.86120546,45.86203585,50.76653204,53.48248546,54.53005731,54.74621018,54.74877538,60.01951805,63.35699572,63.35754106,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.4,5.706966086,5.707104384,12.48254385,30.80437467,30.80667101,36.91110703,38.5569005,42.32286931,42.32307292,45.0120853,46.06127128,46.06226257,50.12242538,53.42726287,54.31672209,54.70373214,54.70640607,59.20398558,63.73580546,63.73629567,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.45,6.408085772,6.408244161,13.92768179,30.01779073,30.02020413,37.18075061,38.5224957,42.77612894,42.77644727,45.00630716,46.25946682,46.26058228,49.46731354,53.36955137,54.02133524,54.6692476,54.67206311,58.47738474,64.12597685,64.12655178,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.5,7.09976876,7.099945775,15.3255855,29.23936723,29.24188367,37.47796023,38.48732961,43.20796656,43.20835916,45.00042248,46.44674761,46.44794225,48.8081895,53.31080883,53.62445752,54.64574908,54.64874171,57.86627561,64.46635676,64.46745293,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.55,7.777739452,7.777932395,16.6667827,28.47624632,28.47885481,37.80110677,38.45227105,43.61949367,43.61991038,44.99457785,46.6145077,46.61573255,48.15070894,53.12037718,53.25248743,54.63556339,54.63876964,57.38491783,64.59280839,64.59491259,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.6,8.436357971,8.436562803,17.94006173,27.73638043,27.73907245,38.14814296,38.41817835,44.01158189,44.01197475,44.9889159,46.75510505,46.75631069,47.49980283,52.52584527,53.19599813,54.64004023,54.64349508,57.02689838,64.43323435,64.43568338,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.65,9.068275151,9.068486533,19.13214841,27.02900286,27.03177184,38.38587876,38.51638762,44.38457188,44.38489884,44.98357199,46.86004682,46.86232195,46.86361022,51.87565156,53.14268019,54.65922518,54.66295884,56.76990198,64.15135289,64.15362206,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
